Data,Rozboje,Bójki i pobicia,Kradzieże z włamaniem,Kradzieże,Wypadki drogowe,Zabici w wypadkach,Ranni w wypadkach,Nietrzeźwi kierujący,Kolizje drogowe
12.06.2015,3,1,36,73,15,1,65,23,163
13.06.2015,1,7,18,36,8,1,9,30,106
14.06.2015,4,3,19,38,11,2,10,21,90
09.06.2015,2,3,41,54,6,0,7,21,108
10.06.2015,3,3,36,82,2,0,2,23,151
07.06.2015,1,5,15,38,8,1,13,69,79
08.06.2015,6,2,32,83,6,0,8,26,128
05.06.2015,4,2,30,43,8,0,12,19,120
06.06.2015,3,1,25,50,3,0,4,25,107
02.06.2015,3,4,30,62,6,0,7,18,177
03.06.2015,2,1,42,70,8,0,9,12,205
04.06.2015,1,5,19,29,6,0,8,29,44
01.06.2015,6,2,40,80,5,2,8,21,162
31.05.2015,3,4,25,32,9,2,18,25,72
30.05.2015,5,4,30,41,10,0,15,22,114
29.05.2015,2,1,29,83,9,0,10,16,157
28.05.2015,3,0,28,59,5,0,6,14,114
27.05.2015,0,0,38,64,5,0,5,14,106
26.05.2015,2,2,21,58,12,0,14,23,182
25.05.2015,6,2,41,58,7,0,9,14,138
24.05.2015,4,3,19,33,6,0,6,25,70
23.05.2015,3,0,24,46,3,0,5,44,95
22.05.2015,3,2,32,51,6,0,7,14,127
21.05.2015,3,2,33,51,6,0,11,11,143
20.05.2015,4,1,27,62,6,0,5,12,147
19.05.2015,3,2,23,54,3,0,3,14,134
18.05.2015,3,2,34,63,8,2,8,11,171
17.05.2015,2,4,12,33,4,0,4,21,63
16.05.2015,2,2,23,44,10,0,12,26,100
15.05.2015,2,1,35,58,9,0,9,14,163
14.05.2015,4,1,36,48,12,0,12,14,208
13.05.2015,2,1,26,70,7,0,7,45,147
12.05.2015,2,1,26,46,8,0,11,24,171
11.05.2015,4,6,30,60,8,0,8,18,162
10.05.2015,0,2,14,22,5,1,4,88,23
09.05.2015,4,2,15,33,4,0,4,31,119
08.05.2015,3,1,22,68,13,1,13,19,183
07.05.2015,1,1,26,54,10,1,11,36,158
06.05.2015,2,2,34,51,10,0,14,8,167
05.05.2015,5,2,26,88,7,1,6,12,107
04.05.2015,2,1,33,49,13,3,18,44,120
01.05.2015,5,2,19,22,4,0,4,21,65
02.05.2015,3,1,19,26,6,1,7,28,84
03.05.2015,4,3,24,23,3,1,2,29,57
30.04.2015,1,1,35,56,4,0,6,18,176
29.04.2015,7,2,38,47,8,0,7,14,197
28.04.2015,1,0,33,50,11,1,10,14,166
27.04.2015,3,4,23,80,13,0,15,40,178
26.04.2015,6,4,24,25,6,0,7,33,71
25.04.2015,4,5,27,49,12,0,14,31,99
24.04.2015,5,3,27,51,9,0,10,16,169
23.04.2015,1,0,35,58,7,0,8,16,151
22.04.2015,4,3,31,54,9,0,9,29,162
21.04.2015,2,1,34,65,13,0,15,20,150
16.04.2015,6,2,31,67,8,0,8,18,155
15.04.2015,2,1,29,62,4,1,3,24,167
14.04.2015,2,1,30,55,10,0,11,17,138
13.04.2015,10,3,35,58,12,0,14,28,143
12.04.2015,6,5,21,36,6,0,6,26,79
11.04.2015,5,5,27,51,8,2,7,36,114
10.04.2015,2,1,48,50,11,0,12,56,167
09.04.2015,5,2,37,57,7,1,7,18,128
08.04.2015,4,0,32,51,7,1,7,13,122
07.04.2015,3,3,26,41,7,0,8,49,139
06.04.2015,2,3,23,16,5,3,9,29,52
05.04.2015,3,3,20,10,2,0,2,21,35
04.04.2015,5,1,22,21,1,0,3,40,93
03.04.2015,0,2,27,38,13,1,22,30,187
02.04.2015,4,0,23,45,4,1,4,11,222
01.04.2015,3,1,33,54,11,3,23,19,168
31.03.2015,4,3,30,62,15,1,17,14,180
30.03.2015,3,0,31,55,6,0,8,16,174
29.03.2015,1,4,16,29,8,2,11,37,57
27.03.2015,0,1,29,51,6,1,6,20,181
28.03.2015,0,2,40,34,5,3,5,25,86
26.03.2015,6,3,32,53,10,0,11,17,149
25.03.2015,4,4,28,54,13,1,17,13,142
24.03.2015,3,0,36,71,6,0,7,20,153
23.03.2015,1,3,37,62,6,0,6,30,137
22.03.2015,4,1,23,27,3,1,2,33,54
21.03.2015,5,3,42,32,10,1,9,33,106
20.03.2015,7,1,22,52,7,0,11,22,149
19.03.2015,4,0,23,64,6,1,6,23,161
18.03.2015,2,0,24,58,10,0,11,24,122
17.03.2015,5,1,21,66,2,0,2,12,151
16.03.2015,4,2,42,53,4,0,4,70,139
15.03.2015,4,4,26,23,8,0,10,39,72
14.03.2015,2,2,29,47,10,2,10,26,173
13.03.2015,5,0,36,40,7,0,7,20,187
12.03.2015,4,2,32,68,8,1,11,19,155
11.03.2015,4,2,38,57,7,1,8,23,162
10.03.2015,2,1,35,44,3,1,3,15,146
09.03.2015,4,3,40,48,11,0,12,34,146
08.03.2015,2,1,27,38,1,1,0,29,69
07.03.2015,0,5,29,39,7,1,6,39,88
06.03.2015,3,1,20,56,8,0,10,23,159
03.03.2015,0,3,37,58,7,0,8,35,188
04.03.2015,4,1,32,58,6,1,6,20,137
05.03.2015,3,0,29,60,9,2,8,153,22
02.03.2015,2,4,38,57,6,0,6,21,171
01.03.2015,1,1,27,33,3,2,3,27,65
28.02.2015,2,2,34,46,5,0,6,49,89
26.02.2015,2,1,29,72,6,0,8,18,129
27.02.2015,3,2,36,56,6,1,5,59,108
25.02.2015,3,2,32,47,9,0,9,16,146
24.02.2015,2,3,31,60,5,0,6,16,133
23.02.2015,6,3,38,65,4,0,6,62,115
22.02.2015,5,2,25,25,3,0,3,15,47
21.02.2015,1,1,40,47,9,0,11,23,82
20.02.2015,3,0,36,79,5,0,5,18,153
17.02.2015,7,1,24,57,7,0,8,30,162
18.02.2015,3,4,36,52,5,0,5,47,118
15.02.2015,4,2,16,28,3,0,4,28,70
16.02.2015,6,3,30,63,4,0,4,16,90
12.02.2015,6,1,30,44,7,0,10,18,112
13.02.2015,5,3,26,42,6,0,8,29,101
14.02.2015,2,4,17,28,7,0,10,22,96
11.02.2015,2,0,27,44,2,0,9,20,102
10.02.2015,1,1,19,54,6,0,8,18,119
09.02.2015,1,0,24,53,12,2,13,16,199
08.02.2015,1,4,19,23,7,0,15,21,101
07.02.2015,5,3,28,43,8,0,10,32,103
06.02.2015,4,0,31,47,8,0,10,21,117
05.02.2015,1,1,23,48,6,0,8,11,137
04.02.2015,2,1,33,46,7,1,6,17,142
03.02.2015,3,1,41,52,6,0,6,16,134
02.02.2015,1,2,30,41,3,0,5,16,131
01.02.2015,4,2,18,24,4,0,9,25,76
31.01.2015,1,3,31,44,4,0,12,32,125
30.01.2015,1,2,28,54,7,2,9,14,213
29.01.2015,2,2,26,71,3,0,3,15,168
28.01.2015,4,1,30,70,4,0,8,16,126
27.01.2015,3,1,23,49,6,0,7,13,155
26.01.2015,7,3,31,68,5,0,5,27,146
25.01.2015,2,1,18,32,5,0,9,12,143
24.01.2015,1,3,33,37,8,0,13,21,120
23.01.2015,3,2,25,56,8,0,9,24,120
22.01.2015,4,2,34,69,7,1,7,27,134
21.01.2015,3,1,37,53,6,0,9,36,122
20.01.2015,2,3,36,71,5,1,4,14,106
19.01.2015,8,0,42,57,10,2,9,14,107
18.01.2015,1,1,22,23,7,3,9,17,68
17.01.2015,1,7,30,31,8,3,8,30,104
16.01.2015,3,3,33,57,10,0,12,14,173
15.01.2015,3,1,37,61,11,1,12,25,122
14.01.2015,3,3,41,67,11,0,13,18,112
13.01.2015,1,1,38,49,8,0,11,15,122
12.01.2015,5,2,44,51,11,1,10,19,153
10.01.2015,4,1,23,35,9,0,12,17,117
11.01.2015,3,2,44,27,4,2,4,23,73
09.01.2015,3,3,39,62,16,0,22,13,165
08.01.2015,1,2,33,65,5,0,7,13,141
07.01.2015,4,2,35,43,8,0,10,11,126
06.01.2015,3,2,20,22,2,0,2,11,55
05.01.2015,3,2,34,43,8,0,9,11,164
04.01.2015,1,3,25,23,4,0,4,12,146
02.01.2015,3,5,32,47,4,1,4,17,105
03.01.2015,4,1,29,31,4,0,4,12,72
01.01.2015,0,7,15,13,6,0,7,35,49
30.12.2014,2,0,24,42,5,0,5,8,150
31.12.2014,1,2,27,23,10,1,9,9,110
28.12.2014,4,4,21,16,2,0,2,13,54
29.12.2014,1,0,41,50,2,0,2,31,153
27.12.2014,2,1,30,31,2,0,4,15,94
24.12.2014,1,0,22,27,10,5,5,9,121
25.12.2014,2,3,16,7,3,0,6,18,42
26.12.2014,1,4,11,9,4,0,7,17,55
23.12.2014,1,4,28,52,13,0,15,31,181
22.12.2014,2,2,33,61,19,2,20,21,234
21.12.2014,6,6,35,24,8,0,8,35,102
19.12.2014,5,3,41,56,16,0,20,13,237
20.12.2014,3,2,31,40,9,0,11,33,132
18.12.2014,7,2,36,58,12,0,13,13,172
17.12.2014,4,0,40,45,7,0,8,21,183
16.12.2014,6,6,35,58,17,2,19,44,161
15.12.2014,5,1,36,64,20,2,21,21,184
14.12.2014,5,2,36,37,7,0,9,26,77
13.12.2014,0,3,35,45,7,1,8,25,102
12.12.2014,6,1,38,53,17,1,19,21,208
11.12.2014,2,2,36,69,19,0,23,12,173
10.12.2014,2,1,35,47,12,0,15,9,186
09.12.2014,3,1,32,67,13,0,15,19,171
08.12.2014,4,3,37,52,11,1,12,56,165
07.12.2014,1,1,24,29,6,1,6,21,76
06.12.2014,2,4,34,41,9,1,13,24,117
05.12.2014,3,2,28,48,10,1,9,19,168
04.12.2014,2,3,29,42,9,1,10,15,135
03.12.2014,3,1,25,68,4,0,6,19,137
02.12.2014,0,2,35,45,7,1,11,17,161
01.12.2014,2,1,47,49,7,0,7,17,153
30.11.2014,3,3,25,35,2,1,1,35,45
29.11.2014,3,1,34,35,1,1,0,47,85
28.11.2014,2,0,31,54,6,0,6,24,123
27.11.2014,1,1,42,50,6,0,7,19,136
26.11.2014,0,0,47,68,8,2,15,18,136
25.11.2014,1,0,28,56,10,0,11,17,144
24.11.2014,7,3,39,63,6,1,8,17,162
23.11.2014,4,4,21,39,3,1,2,49,46
22.11.2014,5,1,25,41,7,1,7,42,88
21.11.2014,4,2,36,68,14,0,16,15,179
20.11.2014,7,1,33,58,17,0,18,21,169
19.11.2014,3,1,33,58,15,0,15,14,202
18.11.2014,0,3,30,61,11,0,11,14,179
17.11.2014,8,5,34,59,11,1,12,17,110
16.11.2014,3,2,25,25,9,0,12,34,99
15.11.2014,3,4,33,52,7,0,8,30,84
14.11.2014,4,0,26,63,6,0,6,23,168
13.11.2014,4,1,36,51,11,0,17,15,142
12.11.2014,3,2,33,76,7,1,6,39,138
11.11.2014,2,4,34,31,1,0,1,40,67
10.11.2014,3,3,36,54,8,1,11,23,115
09.11.2014,5,0,27,35,11,1,19,35,75
08.11.2014,1,1,33,46,9,0,13,18,177
07.11.2014,2,3,36,54,18,2,19,17,211
06.11.2014,2,0,29,72,9,0,10,20,142
05.11.2014,3,1,28,73,8,0,11,16,152
04.11.2014,2,3,28,61,8,0,9,22,156
03.11.2014,7,5,45,70,8,0,8,47,152
02.11.2014,3,2,30,39,4,0,4,30,74
01.11.2014,5,0,19,20,5,0,6,24,101
31.10.2014,1,1,34,45,7,1,7,23,207
30.10.2014,1,3,20,54,7,0,8,41,178
29.10.2014,6,1,30,60,9,0,9,13,163
28.10.2014,3,0,38,69,11,0,11,18,174
27.10.2014,3,2,44,45,12,1,13,23,171
26.10.2014,2,3,27,32,4,1,3,28,64
25.10.2014,5,3,33,40,8,0,8,27,105
24.10.2014,0,2,31,58,8,1,13,17,145
23.10.2014,2,2,37,55,20,2,20,9,171
22.10.2014,3,2,32,64,13,0,14,18,217
21.10.2014,4,0,27,68,4,1,4,23,141
20.10.2014,5,4,34,71,10,0,13,29,173
19.10.2014,5,4,27,39,13,0,18,29,98
18.10.2014,5,4,27,39,13,0,18,29,98
17.10.2014,8,2,28,56,10,1,13,23,227
16.10.2014,2,1,26,82,8,1,13,21,131
15.10.2014,3,2,25,61,6,0,6,22,145
14.10.2014,4,5,23,68,15,3,24,25,204
13.10.2014,3,1,32,76,11,0,12,26,138
12.10.2014,4,5,18,38,6,0,6,60,72
11.10.2014,5,2,21,47,15,1,19,56,118
10.10.2014,3,0,26,72,17,1,17,37,187
09.10.2014,0,1,35,54,11,2,13,20,175
08.10.2014,2,0,39,55,7,1,7,18,125
07.10.2014,3,3,18,65,9,0,10,21,141
06.10.2014,2,4,36,70,16,1,18,34,167
05.10.2014,11,11,97,189,28,0,31,99,123
01.10.2014,1,1,30,69,5,0,5,21,110
30.09.2014,5,4,25,54,14,0,16,20,154
29.09.2014,7,1,33,81,12,1,15,25,150
28.09.2014,9,1,24,32,6,1,5,91,93
27.09.2014,4,7,30,39,12,0,17,30,110
26.09.2014,2,0,35,62,12,0,18,20,180
25.09.2014,5,3,36,45,7,1,8,19,118
24.09.2014,2,0,40,59,7,0,15,12,149
23.09.2014,4,1,28,70,7,0,8,17,178
22.09.2014,2,2,39,69,11,1,10,59,156
21.09.2014,2,5,27,41,8,0,11,35,92
20.09.2014,1,4,28,28,10,0,14,21,129
19.09.2014,2,1,32,85,19,1,27,23,151
